Flight_number,Date,Seat Number,Customer_name,Customer_phone
9449,5/31/2015,1A,Billy Perry,1-(992)882-2337
3952,5/31/2015,1B,Lois Brown,8-(994)033-4695
3952,5/31/2015,2A,Randy Medina,2-(977)804-1856
3952,5/31/2015,2B,Russell Oliver,8-(701)876-3527
3952,5/31/2015,3A,Gary Riley,1-(978)004-0579
9851,5/31/2015,3B,Walter Mendoza,3-(291)865-4292
9851,5/31/2015,4A,Jean Barnes,2-(573)240-9837
9851,5/31/2015,4B,Adam Howard,7-(509)273-7805
9851,5/31/2015,1A,Marilyn Nelson,3-(876)994-3140
9851,5/31/2015,1B,Alice Jordan,3-(237)735-8478
